date,open,high,low,close,val,closing_range,chg
2024-08-22,1338.84 ,1342.96 ,1334.80 ,1341.03 ,38463649.00 ,76.35%,0.24%
2024-08-23,1341.53 ,1355.52 ,1340.59 ,1354.87 ,62498791.00 ,95.65%,1.03%
2024-08-26,1356.11 ,1366.76 ,1351.33 ,1364.81 ,47339200.00 ,87.36%,0.73%
2024-08-27,1365.64 ,1368.55 ,1360.74 ,1364.31 ,43222416.00 ,45.71%,-0.04%
2024-08-28,1361.59 ,1370.67 ,1356.51 ,1365.72 ,43010618.00 ,65.04%,0.10%
2024-08-29,1361.34 ,1366.69 ,1356.19 ,1357.41 ,35353301.00 ,11.62%,-0.61%
2024-08-30,1360.16 ,1367.09 ,1355.46 ,1359.07 ,60048988.00 ,31.04%,0.12%
2024-09-02,1355.16 ,1357.56 ,1352.24 ,1353.64 ,33071034.00 ,26.32%,-0.40%
2024-09-03,1354.26 ,1370.04 ,1354.26 ,1364.60 ,42209966.00 ,65.53%,0.81%
2024-09-04,1355.31 ,1367.45 ,1355.31 ,1365.49 ,38729367.00 ,83.86%,0.07%
2024-09-05,1372.29 ,1406.36 ,1372.29 ,1404.28 ,81667362.00 ,93.89%,2.84%
2024-09-06,1413.94 ,1431.24 ,1413.94 ,1427.64 ,107329958.00 ,79.19%,1.66%
2024-09-09,1429.16 ,1438.31 ,1417.68 ,1431.13 ,87184795.00 ,65.20%,0.24%
2024-09-10,1431.91 ,1434.53 ,1422.73 ,1428.03 ,64163824.00 ,44.92%,-0.22%
2024-09-11,1424.69 ,1427.97 ,1405.77 ,1415.41 ,73882839.00 ,43.42%,-0.88%
2024-09-12,1422.42 ,1429.45 ,1419.94 ,1421.58 ,47467644.00 ,17.25%,0.44%
2024-09-13,1428.15 ,1433.66 ,1421.47 ,1424.39 ,53664715.00 ,23.95%,0.20%
2024-09-16,1425.89 ,1436.80 ,1423.20 ,1435.53 ,60934206.00 ,90.66%,0.78%
2024-09-17,1437.47 ,1439.11 ,1431.71 ,1436.60 ,54323681.00 ,66.08%,0.07%
2024-09-18,1437.69 ,1446.14 ,1432.91 ,1435.77 ,56526640.00 ,21.62%,-0.06%
2024-09-19,1440.35 ,1454.84 ,1436.29 ,1454.84 ,67348545.00 ,100.00%,1.33%
2024-09-20,1458.21 ,1462.21 ,1451.69 ,1451.69 ,67359501.00 ,0.00%,-0.22%
2024-09-23,1454.19 ,1455.25 ,1442.04 ,1447.90 ,50601236.00 ,44.36%,-0.26%
2024-09-24,1451.67 ,1463.12 ,1447.68 ,1462.10 ,56749379.00 ,93.39%,0.98%
2024-09-25,1466.37 ,1471.56 ,1460.79 ,1461.58 ,62026221.00 ,7.34%,-0.04%
2024-09-26,1463.37 ,1464.75 ,1449.84 ,1455.03 ,55906957.00 ,34.81%,-0.45%
2024-09-27,1453.98 ,1460.55 ,1446.60 ,1450.15 ,60423659.00 ,25.45%,-0.34%
2024-09-30,1445.18 ,1453.52 ,1444.52 ,1448.83 ,52449684.00 ,47.89%,-0.09%
2024-10-01,1449.81 ,1467.23 ,1449.81 ,1464.66 ,52479036.00 ,85.25%,1.09%
2024-10-02,1461.71 ,1464.22 ,1451.50 ,1451.40 ,57861490.00 ,-0.79%,-0.91%
2024-10-03,1446.65 ,1452.00 ,1440.33 ,1442.73 ,57499075.00 ,20.57%,-0.60%
2024-10-04,1441.84 ,1447.65 ,1432.22 ,1444.25 ,63894054.00 ,77.97%,0.11%
2024-10-07,1444.27 ,1453.70 ,1443.56 ,1452.20 ,49322026.00 ,85.21%,0.55%
2024-10-08,1448.27 ,1459.45 ,1447.61 ,1452.80 ,54581083.00 ,43.83%,0.04%
2024-10-09,1454.78 ,1460.33 ,1453.33 ,1456.97 ,49294857.00 ,52.00%,0.29%
2024-10-10,1462.47 ,1474.19 ,1458.84 ,1468.52 ,50398988.00 ,63.06%,0.79%
2024-10-11,1471.93 ,1481.60 ,1470.10 ,1470.10 ,60145714.00 ,0.00%,0.11%
2024-10-15,1472.69 ,1478.16 ,1466.80 ,1465.03 ,63563333.00 ,-15.58%,-0.34%
2024-10-16,1465.65 ,1488.59 ,1461.12 ,1485.01 ,76870936.00 ,86.97%,1.36%
2024-10-17,1490.10 ,1498.61 ,1489.72 ,1495.02 ,60354349.00 ,59.62%,0.67%
2024-10-18,1493.98 ,1506.82 ,1488.61 ,1489.82 ,64650070.00 ,6.64%,-0.35%
