symbol,market,sector,pe,div,de,npm,roe
SVI,SET,ETRON,12.51,1.81,1.01,2.95,18.51
SVR,mai,PROPCON,7.76,31.25,1.62,-1.52,5.69
SVT,SET,COMM,14.49,2.41,0.36,3.02,5.58
SWC,mai,INDUS,13.72,0.17,0.49,8.6,15.56
SYMC,SET,ICT,16.71,1.86,0.43,6.24,6.93
SYNEX,SET,ICT,19,2.55,2.57,1.56,15.31
SYNTEC,SET,CONS,5.39,3.75,0.77,5.44,8.67
TACC,mai,AGRO,11.08,7.88,0.67,12.47,36.99
TAN,SET,COMM,11.84,10.14,0.55,6.14,17.56
TASCO,SET,CONMAT,28.09,6.54,0.51,8.38,6.8
TBN,mai,TECH,13.86,1.89,0.36,13.94,10.57
TC,SET,FOOD,8.11,1.48,0.64,3.02,10.99
TCAP,SET,BANK,7.62,6.53,1.11,37.22,9.52
TCC,SET,ENERG,87.91,13.13,0.45,1.06,0.55
TCOAT,SET,PKG,30.29,1.89,0.19,2.68,1.74
TEAM,SET,ETRON,8.4,8.78,0.61,2.02,15.96
TEGH,SET,AGRI,8.51,2.81,1.57,4.62,13.58
TEKA,SET,CONS,5.56,4.69,1,3.92,14.69
TFG,SET,FOOD,14.31,0.87,1.91,7.34,9.4
TFM,SET,AGRI,9.2,1.77,0.38,10.69,17.23
TFMAMA,SET,FOOD,15.08,2.23,0.13,17.31,13.56
TGE,SET,ENERG,20.22,0.12,0.34,27.37,10.23
THANA,mai,PROPCON,14.94,5.86,1.41,1.09,3.8
THANI,SET,FIN,11.59,1.17,2.83,7.73,6.51
THIP,SET,PKG,8.59,5.74,0.24,5.27,11.43
TIDLOR,SET,FIN,11.41,1.63,2.46,17.65,14
TIPH,SET,INSUR,8.65,2.23,4.58,5.8,17.39
TISCO,SET,BANK,11.16,7.97,5.69,27.61,17.04
TKC,SET,ICT,15.12,1.47,0.35,11.24,8.96
